English,Greek
you,εσείς
 or , ή 
to,να
the,ο
a,ένα
and,και
that,ότι
it,το
of,του
me,μου
what,Τι
is,είναι
in,σε
this,αυτό
know,ξέρω
I'm,Είμαι
for,για
no,Όχι
have,έχω
my,μου
don't,όχι
just,μόλις
not,δεν
do,κάνω
be,είναι
on,επί
your,σας
was,ήταν
we,εμείς
it's,του
with,με
so,έτσι
but,αλλά
all,όλοι
well,Λοιπόν
are,εκτάριο
he,αυτός
oh,ω
about,για
right,δικαίωμα
you're,είσαι
get,παίρνω
here,εδώ
out,έξω
going,μετάβαση
like,σαν
yeah,ναι
if,αν
her,αυτήν
she,αυτή
can,κουτί
up,επάνω
want,θέλω
think,νομίζω
that's,αυτό είναι
now,τώρα
go,πάω
him,αυτόν
at,στο
how,πως
got,πήρε
there,εκεί
one,ένας
did,έκανε
why,Γιατί
see,βλέπω
come,Έλα
good,καλός
they,αυτοί
really,πραγματικά
as,ως
would,θα
look,ματιά
when,όταν
time,φορά
will,θα
okay,καλά
back,πίσω
can't,κλίση
mean,μέσο
tell,λέγω
I'll,Αρρωστος
from,από
hey,γεια
were,ήταν
he's,αυτός είναι
could,θα μπορούσε
didn't,δεν το έκανε
yes,Ναί
his,του
been,ήταν
or,ή
something,κάτι
who,ΠΟΥ
because,επειδή
some,μερικοί
had,είχε
then,τότε
say,λέγω
ok,Εντάξει
take,παίρνω
an,ένα
way,τρόπος
us,μας
little,λίγο
make,μάρκα
need,ανάγκη
gonna,θα
never,ποτέ
we're,είμαστε
too,πολύ
love,αγάπη
she's,αυτή είναι
I've,έχω
sure,σίγουρος
them,τους
more,περισσότερο
over,υπερ
our,μας
sorry,Συγνώμη
where,όπου
what's,τι είναι
let,αφήνω
thing,πράγμα
am,π.μ
maybe,ίσως
down,κάτω
man,άνθρωπος
has,έχει
uh,ε
very,πολύ
by,με
there's,υπάρχει
should,πρέπει
anything,οτιδήποτε
said,είπε
much,πολύ
any,κάθε
life,ζωή
even,ακόμη και
off,μακριά από
please,παρακαλώ
